split_idx,day,intraday_min_pnl,intraday_max_pnl,final_pnl,n_trades,max_consecutive_losses
5,20220131,-114.9700,1054.0450,1054.0450,92,6
5,20220201,-628.2500,407.1050,390.3100,156,8
5,20220628,-2331.4300,-94.3450,-2331.4300,107,12
5,20220629,-501.2250,30.0900,-203.3150,106,5
5,20220630,-399.3850,682.1850,-399.3850,124,7
5,20220701,120.0100,2245.5750,2245.5750,120,7
5,20220705,-555.9700,2699.3350,2676.8550,123,10
5,20220706,-409.8900,1641.0100,1517.4200,117,6
5,20220707,-11.2400,245.8750,217.2050,33,4
5,20220708,-490.9900,140.7150,-9.3000,70,8
5,20220711,-90.4950,184.1600,-78.2500,50,9
5,20220712,-15.5800,198.1200,-15.5800,67,8
5,20220713,21.2600,939.0950,620.4550,108,6
5,20220714,-28.5800,1764.1750,1764.1750,105,4
5,20220715,-74.7800,226.6300,201.6400,39,3
5,20220718,-843.3000,281.4600,-822.0400,46,12
5,20220719,22.8500,352.6700,87.8800,38,7
5,20220720,-144.3900,560.1950,560.1950,82,9
5,20220721,21.2600,1586.9800,1586.9800,73,3
5,20220722,-238.7100,126.3400,43.3600,86,9
5,20220725,-22.4800,467.2250,172.4650,59,6
5,20220726,-57.4900,427.8000,109.8450,47,13
6,20220103,-502.1600,112.5550,112.5550,68,11
6,20220104,-11.2400,993.4350,708.1000,60,5
6,20220105,-73.9950,129.0900,-52.7350,39,5
6,20220106,-1238.1200,190.7950,-469.1550,147,9
6,20220107,-11.2400,1553.5750,993.4100,91,10
6,20220110,-145.9250,935.8450,170.5350,116,10
6,20220111,-2144.7550,225.8650,-1921.3300,117,10
6,20220112,18.8300,1067.1000,1022.1200,87,7
6,20220113,21.2600,1390.2050,1250.4650,109,8
6,20220114,-87.4600,2238.0250,1614.0400,154,13
6,20220118,-10.5750,813.8050,86.9150,129,8
6,20220119,92.5100,4120.3850,4097.9150,104,5
6,20220120,-1557.0800,63.7800,-908.4650,91,13
6,20220121,-3292.9350,153.3750,-521.5450,283,10
6,20220124,-3092.2750,492.6150,-452.3850,449,9
6,20220125,-267.8450,4370.4600,2129.7500,350,8
6,20220126,-216.6200,1051.1350,402.8100,156,5
6,20220127,-116.1800,4682.6250,2775.6700,317,8
6,20220128,-3450.5650,1660.4500,-296.7950,258,9
6,20220131,-775.1350,-11.2400,-482.2050,92,11
6,20220201,-526.8150,847.9200,-460.9400,156,15
6,20220727,-2552.4250,119.6550,-2552.4250,70,8
6,20220728,-225.8800,35.0500,-214.4700,53,6
6,20220729,-308.2300,172.7000,-308.2300,52,5
6,20220801,-549.6850,371.0650,-518.4050,97,7
6,20220802,-1066.5150,-44.9900,-515.4500,80,9
6,20220803,-798.3000,10.0200,-793.2800,47,9
6,20220804,-550.9900,21.2600,-396.2850,59,10
6,20220805,-11.2400,672.7300,288.2100,71,6
6,20220808,50.0100,1494.3700,1361.9200,67,9
6,20220809,-17.9650,275.9250,9.8850,51,18
6,20220810,-257.2400,-11.2400,-87.1200,38,7
6,20220811,91.2700,1028.7850,981.3250,70,6
6,20220812,-449.7900,21.2600,-381.0200,23,12
6,20220815,-549.8000,-11.2400,-493.4600,29,6
6,20220816,-404.5100,-1.2200,-404.5100,49,7
6,20220817,21.2600,948.9650,937.7250,85,5
6,20220818,-279.8600,-11.2400,-64.5900,41,6
6,20220819,-2.1800,207.6000,92.9500,45,7
6,20220822,-322.2700,-33.7400,-213.3300,42,5
6,20220823,10.0200,409.1800,295.7600,76,7
7,20220103,-152.3800,700.0550,700.0550,68,11
7,20220104,-39.9700,824.7850,428.1000,60,9
7,20220105,-134.5900,230.1900,-113.3300,42,11
7,20220106,-1367.3150,45.0500,-431.6550,147,9
7,20220107,-302.3600,883.5750,517.1600,91,10
7,20220110,-1584.9050,-11.2400,-1085.7150,116,12
7,20220111,-2916.0050,4.6550,-2438.8300,117,11
7,20220112,-288.5100,242.1000,197.1200,87,7
7,20220113,-408.0150,234.7350,-94.5350,109,6
7,20220114,-240.3550,1826.7750,1557.7900,154,9
7,20220118,-190.7850,526.2050,223.1650,129,7
7,20220119,-1215.3950,288.3300,-263.3350,104,5
7,20220120,-670.6200,508.9500,-573.4650,91,10
7,20220121,-2431.6850,1143.4450,1132.2050,283,10
7,20220124,-6168.4900,685.5750,-5617.3850,449,9
7,20220125,-142.8450,4512.4750,2201.0000,350,7
7,20220126,-827.2000,898.6350,-805.9400,156,5
7,20220127,-307.7850,5859.2850,4743.1700,317,10
7,20220128,-4878.6000,1807.9500,-3664.2950,258,13
7,20220131,-332.6350,391.5350,380.2950,92,7
7,20220201,-2096.7650,-11.2400,-1909.6900,156,15
7,20220824,-12.4600,552.2550,552.2550,38,4
7,20220825,-259.3350,296.0450,296.0450,42,4
7,20220826,-684.8400,368.7850,8.4000,90,7
