split_idx,day,pnl,n_trades,hold_skips,time_skips,dsl_skips,dsl_triggered,total_bars
23,20221011,-1493.3950,98,674,766,0,False,4630
23,20221012,-6.5600,94,681,747,0,False,4630
23,20221013,6281.1900,244,666,767,0,False,4630
23,20221014,575.3100,156,672,744,0,False,4630
23,20221017,-349.9550,67,681,753,0,False,4630
23,20221018,656.3000,130,557,880,0,False,4630
23,20221019,463.4400,94,527,873,0,False,4630
24,20220331,66.0650,44,599,829,0,False,4630
24,20220401,-283.7150,66,698,715,0,False,4630
24,20220404,7.7200,22,720,628,0,False,4630
24,20220405,-123.7650,61,700,701,0,False,4630
24,20220406,2174.9800,123,694,743,0,False,4630
24,20220407,1255.8600,86,706,720,0,False,4630
24,20220408,169.3700,62,679,759,0,False,4630
24,20220411,-182.0800,42,682,734,0,False,4630
24,20220412,-1562.2450,88,700,728,0,False,4630
24,20220413,429.8250,45,704,723,0,False,4630
24,20220414,30.0450,67,707,716,0,False,4630
24,20220418,-999.8750,75,613,802,0,False,4630
24,20220419,271.1350,51,571,862,0,False,4630
24,20220420,-190.0650,56,569,869,0,False,4630
24,20220421,-2024.3900,61,605,0,2095,True,4630
24,20220422,-2000.9250,95,538,0,938,True,4630
24,20220425,4070.1650,204,682,754,0,False,4630
24,20220426,-1439.1350,149,407,1033,0,False,4630
24,20220427,293.9150,204,426,975,0,False,4630
24,20220428,3960.6950,132,254,1184,0,False,4630
24,20220429,-2026.4700,103,556,0,1806,True,4630
24,20220502,-2027.7550,37,587,0,3640,True,4630
24,20220503,1671.1450,177,541,874,0,False,4630
24,20220504,22429.7800,228,678,759,0,False,4630
24,20220505,-2051.0150,86,526,0,3281,True,4630
24,20220506,-2013.0950,253,613,0,1507,True,4630
24,20220509,-1114.0100,224,573,863,0,False,4630
24,20220510,-2009.3300,67,571,0,3441,True,4630
24,20220511,-2112.8600,89,580,0,2979,True,4630
24,20220512,-2241.3950,48,504,0,3604,True,4630
24,20220513,1375.0100,126,661,773,0,False,4630
24,20220516,2609.0000,150,668,672,0,False,4630
24,20220517,3976.1600,116,702,715,0,False,4630
24,20220518,-2035.8900,36,541,0,3409,True,4630
24,20220519,5581.3200,257,617,821,0,False,4630
24,20220520,-2001.4250,45,560,0,3295,True,4630
24,20220523,2245.1400,139,697,729,0,False,4630
24,20220524,4663.1100,186,650,777,0,False,4630
24,20220525,4276.7500,175,488,944,0,False,4630
24,20220526,346.7500,50,671,748,0,False,4630
25,20220331,288.5650,44,604,824,0,False,4630
25,20220401,-178.7150,66,692,721,0,False,4630
25,20220404,0.2200,22,709,639,0,False,4630
25,20220405,-468.7650,61,699,702,0,False,4630
25,20220406,2327.4800,123,690,747,0,False,4630
25,20220407,887.1100,86,697,729,0,False,4630
25,20220408,566.8700,62,670,768,0,False,4630
25,20220411,-137.0800,42,672,744,0,False,4630
25,20220412,-1397.2450,88,693,735,0,False,4630
25,20220413,404.8250,45,691,736,0,False,4630
25,20220414,170.0450,67,701,722,0,False,4630
25,20220418,-1264.8750,75,614,801,0,False,4630
25,20220419,321.1350,51,578,855,0,False,4630
25,20220420,-110.0650,56,538,900,0,False,4630
25,20220421,-2001.3050,57,584,0,2414,True,4630
25,20220422,-1263.4050,97,532,899,0,False,4630
25,20220425,4097.6650,204,671,765,0,False,4630
25,20220426,-1395.3850,149,420,1020,0,False,4630
25,20220427,-458.5850,204,406,995,0,False,4630
25,20220428,3289.4450,132,196,1242,0,False,4630
25,20220527,44.1200,37,670,754,0,False,4630
25,20220531,341.2100,121,581,835,0,False,4630
25,20220601,1093.7800,128,664,737,0,False,4630
25,20220602,2767.0200,77,704,736,0,False,4630
25,20220603,209.7600,101,679,756,0,False,4630
25,20220606,-714.7150,91,686,751,0,False,4630
25,20220607,761.9400,69,695,735,0,False,4630
25,20220608,-336.5400,96,713,720,0,False,4630
25,20220609,-506.4500,105,693,736,0,False,4630
25,20220610,759.9800,123,642,773,0,False,4630
25,20220613,-809.9650,191,540,877,0,False,4630
25,20220614,-492.1600,159,659,777,0,False,4630
25,20220615,10205.6350,251,652,787,0,False,4630
25,20220616,-458.4500,155,326,1112,0,False,4630
25,20220617,1955.6200,187,600,838,0,False,4630
25,20220621,319.9350,56,695,731,0,False,4630
25,20220622,185.2650,89,673,755,0,False,4630
25,20220623,-527.1450,98,683,743,0,False,4630
25,20220624,9.7650,39,763,643,0,False,4630
25,20220627,238.3800,88,664,759,0,False,4630
26,20220331,94.8150,44,599,830,0,False,4630
26,20220401,-527.4650,66,678,735,0,False,4630
26,20220404,151.4900,24,766,443,0,False,4630
26,20220405,-541.2650,61,691,710,0,False,4630
26,20220406,2622.4800,123,680,757,0,False,4630
26,20220407,1275.8600,86,692,734,0,False,4630
26,20220408,581.8700,62,671,767,0,False,4630
26,20220411,61.6800,43,676,741,0,False,4630
26,20220412,-1322.2450,88,678,750,0,False,4630
26,20220413,444.8250,45,686,741,0,False,4630
26,20220414,-309.9850,64,705,725,0,False,4630
26,20220418,-1719.8750,75,592,823,0,False,4630
26,20220419,96.1350,51,577,856,0,False,4630
26,20220420,227.4350,56,539,899,0,False,4630
26,20220421,-2002.1000,40,583,0,2882,True,4630
26,20220422,-2055.5400,71,523,0,1771,True,4630
26,20220425,4135.1650,204,668,768,0,False,4630
26,20220426,-1266.6350,149,357,1083,0,False,4630
26,20220427,497.6650,204,367,1034,0,False,4630
26,20220428,5255.6950,132,173,1265,0,False,4630
26,20220628,-2007.8050,32,683,0,3166,True,4630
26,20220629,-690.8150,106,700,724,0,False,4630
26,20220630,984.3650,124,580,817,0,False,4630
26,20220701,1951.8250,120,683,745,0,False,4630
26,20220705,3363.1050,123,678,750,0,False,4630
26,20220706,2152.4200,117,692,748,0,False,4630
