trade_idx,split_00,split_01,split_02,split_03,split_04,split_05,split_06,split_07,split_08,split_09,split_10,split_11,split_12,split_13,split_14,split_15,split_16,split_17,split_18,split_19,split_20,split_21,split_22,split_23,split_24,split_25,split_26,split_27,split_28,split_29,split_30,split_31,split_32,split_33,split_34,split_35,split_36,split_37,split_38,split_39,split_40,split_41,split_42,split_43,split_44
20,216.4600,123.9600,216.4600,216.4600,281.4600,58.9600,-231.0400,216.4600,183.9600,129.5850,-179.1650,-179.1650,65.8350,-179.1650,0.8350,323.3350,194.5850,-1054.7900,57.7100,-129.7900,150.2100,1175.2100,-162.2900,-162.2900,186.4600,258.9600,66.4600,286.4600,358.9600,283.9600,102.0850,102.0850,55.8350,357.0850,357.0850,-467.9150,-467.9150,-221.6650,-335.4150,1586.4600,-553.5400,-553.5400,108.3350,110.2100,100.2100
21,205.2200,112.7200,205.2200,205.2200,302.7200,47.7200,-209.7800,205.2200,172.7200,145.8450,-162.9050,-162.9050,82.0950,-162.9050,17.0950,339.5950,210.8450,-1226.6550,224.5950,37.0950,317.0950,1342.0950,4.5950,4.5950,207.7200,280.2200,87.7200,307.7200,380.2200,305.2200,90.8450,90.8450,77.0950,378.3450,378.3450,-464.1550,-464.1550,-217.9050,-331.6550,1790.2200,-349.7800,-349.7800,278.9700,131.4700,121.4700
22,193.9800,133.9800,193.9800,193.9800,323.9800,68.9800,-188.5200,193.9800,161.4800,167.1050,-141.6450,-141.6450,103.3550,-141.6450,38.3550,328.3550,232.1050,-1205.3950,245.8550,25.8550,305.8550,1330.8550,-6.6450,-6.6450,196.4800,301.4800,76.4800,328.9800,401.4800,326.4800,27.1050,27.1050,135.8550,314.6050,314.6050,-472.2700,-472.2700,-226.0200,-339.7700,1811.4800,-361.0200,-328.5200,300.2300,152.7300,142.7300
23,247.7400,75.2400,247.7400,247.7400,265.2400,10.2400,-247.2600,247.7400,215.2400,139.6150,-119.1350,-119.1350,125.8650,-119.1350,60.8650,300.8650,204.6150,-1421.0100,456.4900,236.4900,516.4900,1541.4900,203.9900,203.9900,185.2400,290.2400,65.2400,317.7400,390.2400,315.2400,-20.3850,69.6150,178.3650,357.1150,357.1150,-496.0100,-496.0100,-249.7600,-363.5100,1832.7400,-339.7600,-307.2600,321.4900,277.7400,163.9900
24,314.0000,141.5000,314.0000,314.0000,331.5000,76.5000,-318.5000,314.0000,281.5000,160.8750,-97.8750,-97.8750,147.1250,-97.8750,82.1250,289.6250,193.3750,-1399.7500,445.2500,257.7500,505.2500,1530.2500,192.7500,192.7500,161.5000,309.0000,84.0000,336.5000,409.0000,334.0000,0.8750,90.8750,199.6250,378.3750,345.8750,-517.2500,-517.2500,-271.0000,-384.7500,1854.0000,-318.5000,-286.0000,446.5000,266.5000,185.2500
25,335.2600,130.2600,335.2600,335.2600,320.2600,65.2600,-329.7400,335.2600,302.7600,149.6350,-76.6150,-76.6150,168.3850,-76.6150,103.3850,278.3850,182.1350,-1645.9900,686.5100,11.5100,746.5100,1771.5100,434.0100,434.0100,167.1350,314.6350,73.3850,342.1350,414.6350,339.6350,-55.9900,34.0100,251.5100,430.2600,397.7600,-495.9900,-528.4900,-249.7400,-363.4900,1875.2600,-297.2400,-264.7400,435.2600,474.0100,229.0100
26,381.5200,79.0200,381.5200,284.0200,269.0200,14.0200,-380.9800,381.5200,349.0200,138.3950,-55.3550,-55.3550,157.1450,-55.3550,124.6450,267.1450,170.8950,-1624.7300,675.2700,32.7700,735.2700,1760.2700,422.7700,422.7700,155.8950,303.3950,62.1450,330.8950,435.8950,328.3950,-67.2300,22.7700,240.2700,419.0200,386.5200,-474.7300,-507.2300,-228.4800,-342.2300,1980.8950,-191.6050,-159.1050,642.7700,695.2700,217.7700
27,402.7800,67.7800,402.7800,272.7800,257.7800,2.7800,-392.2200,370.2800,337.7800,159.6550,-66.5950,-66.5950,178.4050,-66.5950,113.4050,288.4050,192.1550,-1635.9700,696.5300,21.5300,756.5300,1781.5300,444.0300,444.0300,115.9050,338.4050,22.1550,290.9050,395.9050,288.4050,11.5300,101.5300,319.0300,497.7800,465.2800,-485.9700,-485.9700,-239.7200,-353.4700,2002.1550,-170.3450,-137.8450,864.0300,684.0300,239.0300
28,435.2900,100.2900,435.2900,235.2900,220.2900,-34.7100,-429.7100,332.7900,300.2900,105.2900,-120.9600,-120.9600,124.0400,-120.9600,59.0400,337.7900,241.5400,-1647.2100,717.7900,10.2900,777.7900,1802.7900,465.2900,465.2900,82.1650,304.6650,-11.5850,257.1650,424.6650,317.1650,-63.4600,26.5400,389.0400,567.7900,535.2900,-497.2100,-464.7100,-250.9600,-364.7100,2023.4150,-149.0850,-116.5850,852.7900,931.5400,227.7900
29,466.5500,64.0500,466.5500,199.0500,184.0500,-70.9500,-465.9500,296.5500,264.0500,56.5500,-169.7000,-169.7000,75.3000,-169.7000,10.3000,381.5500,285.3000,-1882.8250,948.4250,-225.3250,1008.4250,2033.4250,695.9250,695.9250,69.6750,292.1750,-24.0750,244.6750,412.1750,304.6750,-42.2000,47.8000,377.8000,556.5500,524.0500,-503.4500,-463.4500,-249.7000,-363.4500,2085.9250,-86.5750,-54.0750,1100.3000,952.8000,227.8000
