split_idx,day,pnl,n_trades,hold_skips,time_skips,total_bars
16,20220203,-93.1250,125,14,1384,4630
16,20220204,1829.8550,173,52,1388,4630
16,20220207,192.2900,104,81,1263,4630
16,20220208,-45.4500,80,17,1364,4630
16,20220209,165.5100,51,486,926,4630
16,20220210,-2061.6550,147,10,1425,4630
16,20220211,-5143.6750,195,4,1424,4630
16,20220214,901.8600,186,14,1426,4630
16,20220215,391.9900,74,234,1166,4630
16,20220216,538.1700,67,86,1354,4630
16,20220217,-572.2850,84,116,1296,4630
16,20220218,-15.2650,161,29,1389,4630
16,20220222,-4109.6800,157,11,1426,4630
16,20220223,-2975.2850,159,23,1409,4630
16,20220224,9543.1500,315,6,1423,4630
16,20220225,4608.1300,188,32,1407,4630
16,20220228,-892.5350,184,11,1426,4630
16,20220301,-4673.0900,191,4,1431,4630
16,20220302,5411.7400,174,16,1382,4630
16,20220922,93.4200,92,681,754,4630
16,20220923,202.1700,92,619,810,4630
16,20220926,427.6000,135,599,835,4630
16,20220927,-302.9150,146,657,774,4630
16,20220928,848.3700,87,643,778,4630
16,20220929,-155.0900,116,630,797,4630
16,20220930,-968.2350,114,619,812,4630
16,20221003,1366.3750,75,664,762,4630
16,20221004,620.6700,67,666,772,4630
16,20221005,1223.2900,79,653,787,4630
16,20221006,407.3900,114,627,791,4630
16,20221007,-600.4800,77,669,760,4630
16,20221010,1152.2900,104,681,756,4630
16,20221011,-1998.3950,98,676,764,4630
16,20221012,-269.0600,94,698,730,4630
16,20221013,8399.9400,244,672,761,4630
16,20221014,-1283.4400,156,673,743,4630
16,20221017,37.5450,67,704,730,4630
16,20221018,623.8000,130,575,862,4630
16,20221019,1290.9400,94,548,852,4630
17,20220303,-1582.1100,164,28,1385,4630
17,20220304,-954.5400,171,20,1408,4630
17,20220307,-4423.7950,183,24,1408,4630
17,20220308,859.9450,307,16,1414,4630
17,20220309,1849.5250,140,41,1376,4630
17,20220310,299.3450,122,36,1389,4630
17,20220311,-1366.1100,139,265,1175,4630
17,20220314,-2613.2050,117,668,750,4630
17,20220315,2443.6900,119,666,623,4630
17,20220316,6808.7150,184,614,814,4630
17,20220317,838.1800,68,665,809,4630
17,20220318,412.3850,51,700,738,4630
17,20220321,-715.7250,115,674,639,4630
17,20220322,176.7200,47,702,706,4630
17,20220323,562.5550,68,712,736,4630
17,20220324,556.7000,45,727,688,4630
17,20220325,289.6300,88,700,732,4630
17,20220328,-1052.5750,55,707,714,4630
17,20220329,53.7750,65,749,686,4630
17,20220330,324.1900,44,704,685,4630
17,20220331,221.6600,41,602,831,4630
17,20220401,-387.4150,71,709,722,4630
17,20220404,-13.5400,21,936,612,4630
17,20220405,256.2350,61,696,705,4630
17,20220406,2437.4800,123,690,747,4630
17,20220407,313.3600,86,699,727,4630
17,20220408,731.8700,62,676,762,4630
17,20220411,-65.8200,43,673,744,4630
17,20220412,-686.6300,87,692,738,4630
17,20220413,52.3250,45,795,734,4630
17,20220414,-243.7050,67,705,718,4630
17,20220418,-1532.3750,75,636,812,4630
17,20220419,53.6250,50,594,861,4630
17,20220420,122.4250,55,568,875,4630
17,20220421,-4245.0500,120,589,846,4630
17,20220422,-1703.4050,97,537,894,4630
17,20220425,3703.9150,204,667,769,4630
17,20220426,-1234.1350,149,356,1084,4630
17,20220427,582.6650,204,393,1008,4630
17,20220428,5370.6950,132,165,1273,4630
18,20220303,3364.1400,164,22,1391,4630
18,20220304,4054.2100,171,20,1408,4630
18,20220307,2419.9550,183,25,1407,4630
18,20220308,4069.9450,307,16,1414,4630
18,20220309,748.2750,140,56,1361,4630
18,20220310,603.0950,122,29,1396,4630
18,20220311,1537.6400,139,385,1055,4630
18,20220314,1108.0450,117,699,719,4630
18,20220315,-2398.8300,117,717,571,4630
18,20220316,-7921.2750,185,676,790,4630
18,20220317,-1190.6000,65,711,765,4630
18,20220318,-886.3650,51,731,707,4630
18,20220321,931.7750,115,684,629,4630
18,20220322,11.1350,51,706,700,4630
18,20220323,218.8150,69,706,739,4630
18,20220324,-138.9150,46,722,694,4630
18,20220325,-162.8800,87,711,720,4630
18,20220328,421.1750,55,706,715,4630
18,20220329,-243.7250,65,717,672,4630
18,20220330,347.9500,45,709,684,4630
18,20220429,2635.7450,137,563,875,4630
18,20220502,-4494.8500,265,588,852,4630
18,20220503,614.8950,177,554,861,4630
18,20220504,-20498.9700,228,682,755,4630
18,20220505,5589.2400,299,532,892,4630
18,20220506,2935.5700,307,620,818,4630
18,20220509,-1275.2600,224,577,859,4630
18,20220510,16.8600,311,587,853,4630
18,20220511,4291.2300,248,589,847,4630
18,20220512,2707.0750,270,510,925,4630
18,20220513,-3439.9900,126,668,766,4630
18,20220516,1171.5000,150,668,672,4630
18,20220517,-3200.0900,116,705,712,4630
18,20220518,2612.1850,156,542,895,4630
18,20220519,-352.4300,257,619,819,4630
18,20220520,356.9700,197,572,857,4630
18,20220523,-196.1100,139,694,732,4630
18,20220524,-366.8900,186,653,774,4630
18,20220525,-2410.7500,175,503,929,4630
18,20220526,-419.5000,50,670,751,4630
19,20220303,177.2650,164,28,1386,4630
19,20220304,-32.0400,171,20,1408,4630
19,20220307,-1615.0450,183,24,1408,4630
19,20220308,-3128.8050,307,16,1414,4630
19,20220309,1005.7750,140,40,1377,4630
19,20220310,1023.0950,122,38,1387,4630
19,20220311,805.1400,139,353,1087,4630
19,20220314,-1189.4550,117,688,730,4630
19,20220315,489.9200,117,701,585,4630
19,20220316,5681.8400,184,654,766,4630
19,20220317,714.4700,72,648,757,4630
19,20220318,7.3850,51,702,736,4630
19,20220321,-318.2250,115,681,632,4630
19,20220322,169.8850,51,705,700,4630
19,20220323,222.5650,69,705,740,4630
19,20220324,-130.8000,45,733,682,4630
19,20220325,-60.3800,87,707,724,4630
19,20220328,-350.0750,55,709,712,4630
19,20220329,556.2750,65,738,682,4630
19,20220330,530.4400,44,694,681,4630
19,20220527,-240.8800,37,675,749,4630
19,20220531,1743.7100,121,592,824,4630
19,20220601,1037.5300,128,659,742,4630
19,20220602,663.2700,77,691,749,4630
19,20220603,-97.7400,101,678,757,4630
19,20220606,664.0350,91,696,741,4630
19,20220607,-559.3100,69,704,726,4630
19,20220608,333.4600,96,712,721,4630
19,20220609,-715.2000,105,693,736,4630
19,20220610,1829.9800,123,641,774,4630
19,20220613,-353.7150,191,402,1015,4630
19,20220614,-733.4100,159,690,746,4630
19,20220615,4409.3750,250,675,761,4630
19,20220616,321.5500,155,529,909,4630
19,20220617,1154.3700,187,618,820,4630
19,20220621,81.1850,56,695,731,4630
19,20220622,450.2650,89,669,759,4630
19,20220623,-42.1450,98,697,729,4630
19,20220624,-172.1100,39,816,591,4630
19,20220627,310.8800,88,663,760,4630
20,20220303,1272.8900,164,37,1376,4630
20,20220304,1857.9600,171,20,1408,4630
20,20220307,-911.2950,183,24,1408,4630
20,20220308,3017.4450,307,16,1414,4630
20,20220309,819.5250,140,33,1384,4630
20,20220310,896.8450,122,37,1388,4630
20,20220311,778.8900,139,235,1205,4630
20,20220314,191.7950,117,672,746,4630
20,20220315,-1301.3300,117,682,604,4630
20,20220316,4238.1000,185,620,816,4630
20,20220317,464.4700,72,670,827,4630
20,20220318,321.8000,55,773,640,4630
20,20220321,-859.4750,115,670,643,4630
20,20220322,78.6350,51,701,706,4630
20,20220323,-114.9250,70,707,738,4630
20,20220324,178.5850,46,731,686,4630
20,20220325,779.6200,87,697,734,4630
20,20220328,128.7150,59,719,709,4630
20,20220329,390.0150,64,738,664,4630
20,20220330,95.4500,45,768,686,4630
20,20220628,-1795.1800,107,683,717,4630
20,20220629,-94.5650,106,702,722,4630
20,20220630,756.8650,124,595,802,4630
20,20220701,655.5750,120,685,743,4630
20,20220705,698.1050,123,670,758,4630
20,20220706,-357.5800,117,700,740,4630
20,20220707,193.4550,33,759,597,4630
20,20220708,-659.3000,70,699,631,4630
20,20220711,291.1150,49,700,715,4630
20,20220712,185.6700,67,706,736,4630
20,20220713,57.9550,108,687,738,4630
20,20220714,-202.0750,105,694,668,4630
20,20220715,-278.3600,39,816,622,4630
20,20220718,141.6900,44,709,690,4630
20,20220719,-212.1500,35,725,774,4630
20,20220720,223.9450,82,635,791,4630
20,20220721,-375.5200,73,647,695,4630
20,20220722,-221.6400,86,678,625,4630
20,20220725,393.7150,59,650,737,4630
20,20220726,789.8450,47,513,905,4630
21,20220303,4136.6400,164,20,1393,4630
21,20220304,2425.4600,171,20,1408,4630
21,20220307,3371.2050,183,24,1408,4630
21,20220308,-3172.5550,307,16,1414,4630
21,20220309,134.5250,140,26,1391,4630
21,20220310,628.0950,122,37,1388,4630
21,20220311,1962.6400,139,162,1278,4630
21,20220314,1633.0450,117,664,755,4630
21,20220315,-2734.4550,117,667,622,4630
21,20220316,-5863.7750,185,619,818,4630
21,20220317,-671.7700,73,568,820,4630
21,20220318,-1068.8650,51,681,757,4630
21,20220321,1533.0250,115,657,656,4630
21,20220322,86.1350,51,697,708,4630
21,20220323,733.8150,69,694,751,4630
21,20220324,-542.6650,46,717,699,4630
21,20220325,302.1200,87,692,739,4630
21,20220328,141.1750,55,696,725,4630
21,20220329,-920.6000,65,705,719,4630
21,20220330,532.9200,42,702,694,4630
21,20220727,-3627.4450,68,682,834,4630
21,20220728,-1059.4700,53,380,1019,4630
21,20220729,-420.7300,52,701,734,4630
21,20220801,44.0950,97,685,752,4630
21,20220802,-4.2000,80,669,747,4630
21,20220803,-1090.7800,47,662,724,4630
21,20220804,-292.5350,59,713,686,4630
21,20220805,413.2100,71,694,743,4630
21,20220808,1684.4200,67,697,700,4630
21,20220809,192.3850,51,700,670,4630
21,20220810,26.6400,39,754,548,4630
21,20220811,675.0750,70,692,715,4630
21,20220812,-406.0300,22,840,631,4630
21,20220815,-537.2300,27,867,583,4630
21,20220816,-269.4900,51,818,730,4630
21,20220817,1048.9750,85,709,680,4630
21,20220818,-20.8300,42,720,571,4630
21,20220819,-27.0700,43,765,686,4630
21,20220822,134.1700,42,715,718,4630
21,20220823,398.2600,76,698,736,4630
22,20220303,2920.3900,164,33,1380,4630
22,20220304,2765.4600,171,20,1408,4630
22,20220307,-1545.0450,183,24,1408,4630
22,20220308,-2920.0550,307,16,1414,4630
22,20220309,1087.0250,140,35,1382,4630
22,20220310,3146.8450,122,37,1388,4630
22,20220311,1198.8900,139,199,1241,4630
22,20220314,150.5450,117,663,756,4630
22,20220315,299.3150,119,667,628,4630
22,20220316,1287.4750,185,635,831,4630
22,20220317,697.6250,75,637,799,4630
22,20220318,89.8950,52,694,745,4630
22,20220321,-131.9750,115,657,656,4630
22,20220322,260.4700,47,695,713,4630
22,20220323,101.3150,69,698,752,4630
22,20220324,-241.4150,46,709,708,4630
22,20220325,-184.1300,87,685,746,4630
22,20220328,818.6750,55,690,731,4630
22,20220329,378.1500,65,705,720,4630
22,20220330,435.4200,42,705,698,4630
22,20220824,447.2550,38,772,645,4630
22,20220825,202.2950,42,761,681,4630
22,20220826,245.9000,90,647,705,4630
22,20220829,107.7350,86,685,739,4630
22,20220830,378.7300,123,674,738,4630
22,20220831,-323.9300,107,663,773,4630
22,20220901,1061.6350,101,679,745,4630
